1: Year: 1970, Month: 1, Number of Sales: 155, Revenue: 3817572.26
378: Year: 2001, Month: 6, Number of Sales: 158, Revenue: 4247546.08
379: Year: 2001, Month: 7, Number of Sales: 161, Revenue: 4269096.26
380: Year: 2001, Month: 8, Number of Sales: 151, Revenue: 4094368.00
381: Year: 2001, Month: 9, Number of Sales: 163, Revenue: 4187080.52
382: Year: 2001, Month: 10, Number of Sales: 165, Revenue: 4431615.12
383: Year: 2001, Month: 11, Number of Sales: 145, Revenue: 3460622.29
384: Year: 2001, Month: 12, Number of Sales: 145, Revenue: 3754439.85
385: Year: 2002, Month: 1, Number of Sales: 123, Revenue: 3018393.93
386: Year: 2002, Month: 2, Number of Sales: 147, Revenue: 3856687.25
387: Year: 2002, Month: 3, Number of Sales: 168, Revenue: 4159543.52
388: Year: 2002, Month: 4, Number of Sales: 146, Revenue: 3792231.14
389: Year: 2002, Month: 5, Number of Sales: 151, Revenue: 3922681.57
390: Year: 2002, Month: 6, Number of Sales: 172, Revenue: 4274833.48
391: Year: 2002, Month: 7, Number of Sales: 173, Revenue: 4672893.44
392: Year: 2002, Month: 8, Number of Sales: 144, Revenue: 3556179.25
393: Year: 2002, Month: 9, Number of Sales: 131, Revenue: 3450412.40
394: Year: 2002, Month: 10, Number of Sales: 160, Revenue: 4339090.57
395: Year: 2002, Month: 11, Number of Sales: 167, Revenue: 4232212.11
396: Year: 2002, Month: 12, Number of Sales: 149, Revenue: 3476560.73
397: Year: 2003, Month: 1, Number of Sales: 162, Revenue: 4494601.63
398: Year: 2003, Month: 2, Number of Sales: 145, Revenue: 3972518.98
399: Year: 2003, Month: 3, Number of Sales: 156, Revenue: 4130750.86
400: Year: 2003, Month: 4, Number of Sales: 147, Revenue: 3749994.53
401: Year: 2003, Month: 5, Number of Sales: 155, Revenue: 4018877.58
402: Year: 2003, Month: 6, Number of Sales: 161, Revenue: 4017655.78
403: Year: 2003, Month: 7, Number of Sales: 174, Revenue: 4493589.31
404: Year: 2003, Month: 8, Number of Sales: 157, Revenue: 3797527.31
405: Year: 2003, Month: 9, Number of Sales: 152, Revenue: 4441166.11
406: Year: 2003, Month: 10, Number of Sales: 144, Revenue: 3739307.82
407: Year: 2003, Month: 11, Number of Sales: 146, Revenue: 3925913.06
408: Year: 2003, Month: 12, Number of Sales: 152, Revenue: 3611787.22
409: Year: 2004, Month: 1, Number of Sales: 154, Revenue: 4395545.15
410: Year: 2004, Month: 2, Number of Sales: 136, Revenue: 3014741.69
411: Year: 2004, Month: 3, Number of Sales: 156, Revenue: 3726838.04
412: Year: 2004, Month: 4, Number of Sales: 172, Revenue: 4285270.03
413: Year: 2004, Month: 5, Number of Sales: 167, Revenue: 4067991.09
414: Year: 2004, Month: 6, Number of Sales: 145, Revenue: 3857006.73
415: Year: 2004, Month: 7, Number of Sales: 158, Revenue: 4063916.12
416: Year: 2004, Month: 8, Number of Sales: 147, Revenue: 3866245.87
417: Year: 2004, Month: 9, Number of Sales: 152, Revenue: 3563815.82
418: Year: 2004, Month: 10, Number of Sales: 153, Revenue: 3973017.41
419: Year: 2004, Month: 11, Number of Sales: 164, Revenue: 3819167.12
420: Year: 2004, Month: 12, Number of Sales: 160, Revenue: 4697215.27
421: Year: 2005, Month: 1, Number of Sales: 133, Revenue: 3286449.67
422: Year: 2005, Month: 2, Number of Sales: 163, Revenue: 4333952.58
423: Year: 2005, Month: 3, Number of Sales: 171, Revenue: 4442558.91
424: Year: 2005, Month: 4, Number of Sales: 138, Revenue: 3736936.04
425: Year: 2005, Month: 5, Number of Sales: 154, Revenue: 4043617.20
426: Year: 2005, Month: 6, Number of Sales: 159, Revenue: 3816257.46
427: Year: 2005, Month: 7, Number of Sales: 155, Revenue: 3670321.63
428: Year: 2005, Month: 8, Number of Sales: 158, Revenue: 3998489.61
429: Year: 2005, Month: 9, Number of Sales: 158, Revenue: 4444491.42
430: Year: 2005, Month: 10, Number of Sales: 154, Revenue: 3959348.25
431: Year: 2005, Month: 11, Number of Sales: 168, Revenue: 4330064.41
432: Year: 2005, Month: 12, Number of Sales: 162, Revenue: 4350713.10
433: Year: 2006, Month: 1, Number of Sales: 163, Revenue: 4265372.65
434: Year: 2006, Month: 2, Number of Sales: 142, Revenue: 3071016.16
435: Year: 2006, Month: 3, Number of Sales: 168, Revenue: 4537298.41
436: Year: 2006, Month: 4, Number of Sales: 144, Revenue: 3535848.89
437: Year: 2006, Month: 5, Number of Sales: 155, Revenue: 4047099.19
438: Year: 2006, Month: 6, Number of Sales: 152, Revenue: 3609110.71
439: Year: 2006, Month: 7, Number of Sales: 147, Revenue: 4064797.35
440: Year: 2006, Month: 8, Number of Sales: 169, Revenue: 4157197.21
441: Year: 2006, Month: 9, Number of Sales: 142, Revenue: 3627350.13
442: Year: 2006, Month: 10, Number of Sales: 162, Revenue: 3454458.15
443: Year: 2006, Month: 11, Number of Sales: 156, Revenue: 3276543.10
444: Year: 2006, Month: 12, Number of Sales: 144, Revenue: 3490899.58
445: Year: 2007, Month: 1, Number of Sales: 156, Revenue: 3622520.24
446: Year: 2007, Month: 2, Number of Sales: 135, Revenue: 3352217.34
447: Year: 2007, Month: 3, Number of Sales: 165, Revenue: 3888527.72
448: Year: 2007, Month: 4, Number of Sales: 162, Revenue: 3811507.82
449: Year: 2007, Month: 5, Number of Sales: 160, Revenue: 3620238.87
450: Year: 2007, Month: 6, Number of Sales: 141, Revenue: 3763585.51
451: Year: 2007, Month: 7, Number of Sales: 152, Revenue: 3522359.78
452: Year: 2007, Month: 8, Number of Sales: 172, Revenue: 5003438.64
453: Year: 2007, Month: 9, Number of Sales: 133, Revenue: 2981969.14
454: Year: 2007, Month: 10, Number of Sales: 163, Revenue: 4232429.37
455: Year: 2007, Month: 11, Number of Sales: 146, Revenue: 3847082.16
456: Year: 2007, Month: 12, Number of Sales: 161, Revenue: 3758239.70
457: Year: 2008, Month: 1, Number of Sales: 162, Revenue: 3525598.20
458: Year: 2008, Month: 2, Number of Sales: 126, Revenue: 2934585.58
459: Year: 2008, Month: 3, Number of Sales: 161, Revenue: 3374643.40
460: Year: 2008, Month: 4, Number of Sales: 155, Revenue: 3809491.41
461: Year: 2008, Month: 5, Number of Sales: 158, Revenue: 3766929.60
462: Year: 2008, Month: 6, Number of Sales: 162, Revenue: 4159874.44
463: Year: 2008, Month: 7, Number of Sales: 147, Revenue: 3947871.12
464: Year: 2008, Month: 8, Number of Sales: 159, Revenue: 4236691.90
465: Year: 2008, Month: 9, Number of Sales: 142, Revenue: 3262975.02
466: Year: 2008, Month: 10, Number of Sales: 138, Revenue: 3816276.94
467: Year: 2008, Month: 11, Number of Sales: 147, Revenue: 3527587.94
468: Year: 2008, Month: 12, Number of Sales: 148, Revenue: 3824692.04
469: Year: 2009, Month: 1, Number of Sales: 163, Revenue: 4590940.61
470: Year: 2009, Month: 2, Number of Sales: 153, Revenue: 3956345.36
471: Year: 2009, Month: 3, Number of Sales: 136, Revenue: 2827360.96
472: Year: 2009, Month: 4, Number of Sales: 158, Revenue: 4007447.06
473: Year: 2009, Month: 5, Number of Sales: 150, Revenue: 4193945.36
474: Year: 2009, Month: 6, Number of Sales: 128, Revenue: 3661499.07
475: Year: 2009, Month: 7, Number of Sales: 136, Revenue: 3849277.03
476: Year: 2009, Month: 8, Number of Sales: 167, Revenue: 3980348.15
477: Year: 2009, Month: 9, Number of Sales: 161, Revenue: 4562926.03
478: Year: 2009, Month: 10, Number of Sales: 183, Revenue: 4565338.99
479: Year: 2009, Month: 11, Number of Sales: 147, Revenue: 3747054.02
480: Year: 2009, Month: 12, Number of Sales: 177, Revenue: 4513345.94
481: Year: 2010, Month: 1, Number of Sales: 167, Revenue: 4622892.61
482: Year: 2010, Month: 2, Number of Sales: 126, Revenue: 2858857.73
483: Year: 2010, Month: 3, Number of Sales: 141, Revenue: 3381830.77
484: Year: 2010, Month: 4, Number of Sales: 154, Revenue: 3985037.41
485: Year: 2010, Month: 5, Number of Sales: 165, Revenue: 4219353.52
486: Year: 2010, Month: 6, Number of Sales: 161, Revenue: 3929712.50
487: Year: 2010, Month: 7, Number of Sales: 160, Revenue: 4185873.52
488: Year: 2010, Month: 8, Number of Sales: 153, Revenue: 3618939.81
489: Year: 2010, Month: 9, Number of Sales: 152, Revenue: 3941769.17
490: Year: 2010, Month: 10, Number of Sales: 156, Revenue: 4407077.97
491: Year: 2010, Month: 11, Number of Sales: 159, Revenue: 3655672.92
492: Year: 2010, Month: 12, Number of Sales: 165, Revenue: 4036385.81
493: Year: 2011, Month: 1, Number of Sales: 157, Revenue: 4146212.41
494: Year: 2011, Month: 2, Number of Sales: 136, Revenue: 3392789.29
495: Year: 2011, Month: 3, Number of Sales: 164, Revenue: 4267483.57
496: Year: 2011, Month: 4, Number of Sales: 179, Revenue: 3996467.90
497: Year: 2011, Month: 5, Number of Sales: 135, Revenue: 3091684.71
498: Year: 2011, Month: 6, Number of Sales: 156, Revenue: 3939546.00
499: Year: 2011, Month: 7, Number of Sales: 139, Revenue: 3255593.81
500: Year: 2011, Month: 8, Number of Sales: 140, Revenue: 3688975.46
501: Year: 2011, Month: 9, Number of Sales: 163, Revenue: 4039903.79
502: Year: 2011, Month: 10, Number of Sales: 171, Revenue: 4145006.08
503: Year: 2011, Month: 11, Number of Sales: 157, Revenue: 4139202.98
504: Year: 2011, Month: 12, Number of Sales: 162, Revenue: 4229486.37
505: Year: 2012, Month: 1, Number of Sales: 156, Revenue: 3838434.02
506: Year: 2012, Month: 2, Number of Sales: 146, Revenue: 3783866.75
507: Year: 2012, Month: 3, Number of Sales: 164, Revenue: 4496545.69
508: Year: 2012, Month: 4, Number of Sales: 169, Revenue: 4271912.82
509: Year: 2012, Month: 5, Number of Sales: 154, Revenue: 3985464.68
510: Year: 2012, Month: 6, Number of Sales: 138, Revenue: 3618387.32
511: Year: 2012, Month: 7, Number of Sales: 162, Revenue: 4754432.21
512: Year: 2012, Month: 8, Number of Sales: 168, Revenue: 3954294.81
513: Year: 2012, Month: 9, Number of Sales: 160, Revenue: 3503363.95
514: Year: 2012, Month: 10, Number of Sales: 141, Revenue: 3468568.24
515: Year: 2012, Month: 11, Number of Sales: 152, Revenue: 3699997.52
516: Year: 2012, Month: 12, Number of Sales: 181, Revenue: 5118206.75
517: Year: 2013, Month: 1, Number of Sales: 138, Revenue: 3815125.43
518: Year: 2013, Month: 2, Number of Sales: 146, Revenue: 3635906.01
519: Year: 2013, Month: 3, Number of Sales: 161, Revenue: 3823719.15
520: Year: 2013, Month: 4, Number of Sales: 153, Revenue: 3760890.58
521: Year: 2013, Month: 5, Number of Sales: 145, Revenue: 3653588.32
522: Year: 2013, Month: 6, Number of Sales: 131, Revenue: 2640071.64
523: Year: 2013, Month: 7, Number of Sales: 161, Revenue: 4262142.20
524: Year: 2013, Month: 8, Number of Sales: 178, Revenue: 4750175.51
525: Year: 2013, Month: 9, Number of Sales: 140, Revenue: 3214868.22
526: Year: 2013, Month: 10, Number of Sales: 164, Revenue: 4400321.20
527: Year: 2013, Month: 11, Number of Sales: 146, Revenue: 3397575.74
528: Year: 2013, Month: 12, Number of Sales: 146, Revenue: 3913804.71
529: Year: 2014, Month: 1, Number of Sales: 163, Revenue: 4576928.83
530: Year: 2014, Month: 2, Number of Sales: 141, Revenue: 3785774.89
531: Year: 2014, Month: 3, Number of Sales: 152, Revenue: 3732329.30
532: Year: 2014, Month: 4, Number of Sales: 144, Revenue: 3766802.00
533: Year: 2014, Month: 5, Number of Sales: 162, Revenue: 4068290.61
534: Year: 2014, Month: 6, Number of Sales: 157, Revenue: 4092028.83
535: Year: 2014, Month: 7, Number of Sales: 177, Revenue: 3788159.77
536: Year: 2014, Month: 8, Number of Sales: 159, Revenue: 3968585.20
537: Year: 2014, Month: 9, Number of Sales: 170, Revenue: 4087950.52
538: Year: 2014, Month: 10, Number of Sales: 142, Revenue: 3826655.40
539: Year: 2014, Month: 11, Number of Sales: 159, Revenue: 4319241.61
540: Year: 2014, Month: 12, Number of Sales: 160, Revenue: 3809643.35
541: Year: 2015, Month: 1, Number of Sales: 152, Revenue: 4195232.15
542: Year: 2015, Month: 2, Number of Sales: 131, Revenue: 3451994.68
543: Year: 2015, Month: 3, Number of Sales: 158, Revenue: 3692798.59
544: Year: 2015, Month: 4, Number of Sales: 172, Revenue: 4165158.84
545: Year: 2015, Month: 5, Number of Sales: 171, Revenue: 4140447.49
546: Year: 2015, Month: 6, Number of Sales: 137, Revenue: 3350055.56
547: Year: 2015, Month: 7, Number of Sales: 144, Revenue: 3536096.03
548: Year: 2015, Month: 8, Number of Sales: 150, Revenue: 4004764.02
549: Year: 2015, Month: 9, Number of Sales: 140, Revenue: 3119353.58
550: Year: 2015, Month: 10, Number of Sales: 163, Revenue: 4176972.60
551: Year: 2015, Month: 11, Number of Sales: 140, Revenue: 3424498.00
552: Year: 2015, Month: 12, Number of Sales: 147, Revenue: 3746699.07
553: Year: 2016, Month: 1, Number of Sales: 158, Revenue: 3976244.70
554: Year: 2016, Month: 2, Number of Sales: 159, Revenue: 3780604.31
555: Year: 2016, Month: 3, Number of Sales: 190, Revenue: 4669048.66
556: Year: 2016, Month: 4, Number of Sales: 150, Revenue: 3968917.54
557: Year: 2016, Month: 5, Number of Sales: 146, Revenue: 3905395.13
558: Year: 2016, Month: 6, Number of Sales: 178, Revenue: 4633134.90
559: Year: 2016, Month: 7, Number of Sales: 165, Revenue: 4737873.75
560: Year: 2016, Month: 8, Number of Sales: 150, Revenue: 4037504.12
561: Year: 2016, Month: 9, Number of Sales: 162, Revenue: 4088875.85
562: Year: 2016, Month: 10, Number of Sales: 156, Revenue: 4081120.29
563: Year: 2016, Month: 11, Number of Sales: 158, Revenue: 4241569.10
564: Year: 2016, Month: 12, Number of Sales: 177, Revenue: 4535209.94
565: Year: 2017, Month: 1, Number of Sales: 157, Revenue: 3859720.15
566: Year: 2017, Month: 2, Number of Sales: 126, Revenue: 3724422.85
567: Year: 2017, Month: 3, Number of Sales: 149, Revenue: 4026889.02
568: Year: 2017, Month: 4, Number of Sales: 150, Revenue: 3826984.43
569: Year: 2017, Month: 5, Number of Sales: 157, Revenue: 4261162.15
570: Year: 2017, Month: 6, Number of Sales: 156, Revenue: 4029783.28
571: Year: 2017, Month: 7, Number of Sales: 163, Revenue: 4053991.77
572: Year: 2017, Month: 8, Number of Sales: 147, Revenue: 4241368.87
573: Year: 2017, Month: 9, Number of Sales: 165, Revenue: 4622024.60
574: Year: 2017, Month: 10, Number of Sales: 159, Revenue: 4085586.72
575: Year: 2017, Month: 11, Number of Sales: 177, Revenue: 4459875.57
576: Year: 2017, Month: 12, Number of Sales: 168, Revenue: 3688739.28
577: Year: 2018, Month: 1, Number of Sales: 180, Revenue: 4645370.35
578: Year: 2018, Month: 2, Number of Sales: 147, Revenue: 3485263.79
579: Year: 2018, Month: 3, Number of Sales: 136, Revenue: 3263939.05
580: Year: 2018, Month: 4, Number of Sales: 150, Revenue: 3510826.11
581: Year: 2018, Month: 5, Number of Sales: 156, Revenue: 3840900.76
582: Year: 2018, Month: 6, Number of Sales: 150, Revenue: 4050022.07
583: Year: 2018, Month: 7, Number of Sales: 155, Revenue: 3932121.66
584: Year: 2018, Month: 8, Number of Sales: 170, Revenue: 4616160.01
585: Year: 2018, Month: 9, Number of Sales: 140, Revenue: 3487924.38
586: Year: 2018, Month: 10, Number of Sales: 154, Revenue: 3970663.18
587: Year: 2018, Month: 11, Number of Sales: 135, Revenue: 3912392.67
588: Year: 2018, Month: 12, Number of Sales: 186, Revenue: 4967221.34
589: Year: 2019, Month: 1, Number of Sales: 166, Revenue: 4514549.87
590: Year: 2019, Month: 2, Number of Sales: 133, Revenue: 3295012.81
591: Year: 2019, Month: 3, Number of Sales: 150, Revenue: 3512522.99
592: Year: 2019, Month: 4, Number of Sales: 135, Revenue: 3835951.41
593: Year: 2019, Month: 5, Number of Sales: 155, Revenue: 3840590.94
594: Year: 2019, Month: 6, Number of Sales: 154, Revenue: 4363136.76
595: Year: 2019, Month: 7, Number of Sales: 163, Revenue: 4502696.25
596: Year: 2019, Month: 8, Number of Sales: 149, Revenue: 4064629.68
597: Year: 2019, Month: 9, Number of Sales: 139, Revenue: 3504416.27
598: Year: 2019, Month: 10, Number of Sales: 142, Revenue: 3334509.98
599: Year: 2019, Month: 11, Number of Sales: 147, Revenue: 3828772.55
600: Year: 2019, Month: 12, Number of Sales: 168, Revenue: 4495515.47
601: Year: 2020, Month: 1, Number of Sales: 166, Revenue: 3892177.05
602: Year: 2020, Month: 2, Number of Sales: 154, Revenue: 4115380.51
603: Year: 2020, Month: 3, Number of Sales: 154, Revenue: 3760913.46
604: Year: 2020, Month: 4, Number of Sales: 142, Revenue: 3392139.08
605: Year: 2020, Month: 5, Number of Sales: 146, Revenue: 3745607.31
606: Year: 2020, Month: 6, Number of Sales: 133, Revenue: 3272431.29
607: Year: 2020, Month: 7, Number of Sales: 156, Revenue: 3881681.73
608: Year: 2020, Month: 8, Number of Sales: 159, Revenue: 4183194.38
609: Year: 2020, Month: 9, Number of Sales: 150, Revenue: 3797774.04
610: Year: 2020, Month: 10, Number of Sales: 157, Revenue: 3881759.76
611: Year: 2020, Month: 11, Number of Sales: 170, Revenue: 4554308.76
612: Year: 2020, Month: 12, Number of Sales: 154, Revenue: 4063230.53
613: Year: 2021, Month: 1, Number of Sales: 167, Revenue: 3982885.72
614: Year: 2021, Month: 2, Number of Sales: 146, Revenue: 3769256.48
615: Year: 2021, Month: 3, Number of Sales: 137, Revenue: 3087178.35
616: Year: 2021, Month: 4, Number of Sales: 134, Revenue: 2993697.82
617: Year: 2021, Month: 5, Number of Sales: 149, Revenue: 3995725.76
618: Year: 2021, Month: 6, Number of Sales: 155, Revenue: 3788548.14
619: Year: 2021, Month: 7, Number of Sales: 144, Revenue: 3783017.86
620: Year: 2021, Month: 8, Number of Sales: 154, Revenue: 3778350.62
621: Year: 2021, Month: 9, Number of Sales: 131, Revenue: 3000876.73
622: Year: 2021, Month: 10, Number of Sales: 146, Revenue: 3800618.26
623: Year: 2021, Month: 11, Number of Sales: 161, Revenue: 4253320.94
624: Year: 2021, Month: 12, Number of Sales: 151, Revenue: 3722569.06
625: Year: 2022, Month: 1, Number of Sales: 151, Revenue: 3417970.59
626: Year: 2022, Month: 2, Number of Sales: 145, Revenue: 3453508.34
627: Year: 2022, Month: 3, Number of Sales: 179, Revenue: 4600455.35
628: Year: 2022, Month: 4, Number of Sales: 161, Revenue: 4322284.49
629: Year: 2022, Month: 5, Number of Sales: 146, Revenue: 3841538.01
630: Year: 2022, Month: 6, Number of Sales: 161, Revenue: 4439036.37
631: Year: 2022, Month: 7, Number of Sales: 138, Revenue: 3440457.34
632: Year: 2022, Month: 8, Number of Sales: 157, Revenue: 3952519.68
633: Year: 2022, Month: 9, Number of Sales: 122, Revenue: 3713806.33
634: Year: 2022, Month: 10, Number of Sales: 170, Revenue: 4365072.05
635: Year: 2022, Month: 11, Number of Sales: 134, Revenue: 3383431.82
636: Year: 2022, Month: 12, Number of Sales: 178, Revenue: 4844766.89
637: Year: 2023, Month: 1, Number of Sales: 175, Revenue: 3836640.34
638: Year: 2023, Month: 2, Number of Sales: 140, Revenue: 3724339.08
639: Year: 2023, Month: 3, Number of Sales: 152, Revenue: 3874409.66
640: Year: 2023, Month: 4, Number of Sales: 147, Revenue: 3988349.06
641: Year: 2023, Month: 5, Number of Sales: 173, Revenue: 4241710.33
642: Year: 2023, Month: 6, Number of Sales: 184, Revenue: 4921753.12
643: Year: 2023, Month: 7, Number of Sales: 153, Revenue: 3708227.75
644: Year: 2023, Month: 8, Number of Sales: 148, Revenue: 3795261.47
645: Year: 2023, Month: 9, Number of Sales: 148, Revenue: 4020730.44
646: Year: 2023, Month: 10, Number of Sales: 148, Revenue: 4078772.01
647: Year: 2023, Month: 11, Number of Sales: 154, Revenue: 3981094.09
648: Year: 2023, Month: 12, Number of Sales: 153, Revenue: 3698501.19
649: Year: 2024, Month: 1, Number of Sales: 152, Revenue: 3789484.50
650: Year: 2024, Month: 2, Number of Sales: 76, Revenue: 1943383.38
